./test/negative/nega_001.jpg, [], [] 
./test/negative/nega_002.jpg, [], [] 
./test/negative/nega_003.jpg, [], [] 
./test/negative/nega_004.jpg, [], [] 
./test/negative/nega_005.jpg, [], [] 
./test/negative/nega_006.jpg, [], [] 
./test/negative/nega_007.jpg, [], [] 
./test/negative/nega_008.jpg, [], [] 
./test/negative/nega_009.jpg, [], [] 
./test/negative/nega_010.jpg, [], [] 
./test/negative/nega_011.jpg, [], [] 
./test/negative/nega_012.jpg, [], [] 
./test/negative/nega_013.jpg, [], [] 
./test/negative/nega_014.jpg, [], [] 
./test/negative/nega_015.jpg, [], [] 
./test/negative/nega_016.jpg, [2], [0.40558696] 
./test/negative/nega_017.jpg, [], [] 
./test/negative/nega_018.jpg, [], [] 
./test/negative/nega_019.jpg, [0], [0.9132742] 
./test/negative/nega_020.jpg, [2], [0.48503834] 
./test/negative/nega_021.jpg, [], [] 
./test/negative/nega_022.jpg, [], [] 
./test/negative/nega_023.jpg, [], [] 
./test/negative/nega_024.jpg, [], [] 
./test/negative/nega_025.jpg, [], [] 
./test/negative/nega_026.jpg, [2], [0.5738695] 
./test/negative/nega_027.jpg, [2], [0.92056465] 
./test/negative/nega_028.jpg, [], [] 
./test/negative/nega_029.jpg, [], [] 
./test/negative/nega_030.jpg, [], [] 
./test/negative/nega_031.jpg, [], [] 
./test/negative/nega_032.jpg, [], [] 
./test/negative/nega_033.jpg, [], [] 
./test/negative/nega_034.jpg, [], [] 
./test/negative/nega_035.jpg, [], [] 
./test/negative/nega_036.jpg, [], [] 
./test/negative/nega_037.jpg, [], [] 
./test/negative/nega_038.jpg, [], [] 
./test/negative/nega_039.jpg, [], [] 
./test/negative/nega_040.jpg, [], [] 
./test/negative/nega_041.jpg, [], [] 
./test/negative/nega_042.jpg, [], [] 
./test/negative/nega_043.jpg, [], [] 
./test/negative/nega_044.jpg, [], [] 
./test/negative/nega_045.jpg, [], [] 
./test/negative/nega_046.jpg, [], [] 
./test/negative/nega_047.jpg, [], [] 
./test/negative/nega_048.jpg, [], [] 
./test/negative/nega_049.jpg, [], [] 
./test/negative/nega_050.jpg, [], [] 
./test/negative/nega_051.jpg, [], [] 
./test/negative/nega_052.jpg, [], [] 
./test/negative/nega_053.jpg, [], [] 
./test/negative/nega_054.jpg, [], [] 
./test/negative/nega_055.jpg, [], [] 
./test/negative/nega_056.jpg, [], [] 
./test/negative/nega_057.jpg, [], [] 
./test/negative/nega_058.jpg, [], [] 
./test/negative/nega_059.jpg, [], [] 
./test/negative/nega_060.jpg, [2], [0.5762402] 
./test/negative/nega_061.jpg, [], [] 
./test/negative/nega_062.jpg, [], [] 
./test/negative/nega_063.jpg, [2], [0.5719528] 
./test/negative/nega_064.jpg, [], [] 
./test/negative/nega_065.jpg, [], [] 
./test/negative/nega_066.jpg, [], [] 
./test/negative/nega_067.jpg, [0], [0.52879393] 
./test/negative/nega_068.jpg, [], [] 
./test/negative/nega_069.jpg, [0], [0.4574637] 
./test/negative/nega_070.jpg, [], [] 
./test/negative/nega_071.jpg, [], [] 
./test/negative/nega_072.jpg, [], [] 
./test/negative/nega_073.jpg, [], [] 
./test/negative/nega_074.jpg, [], [] 
./test/negative/nega_075.jpg, [], [] 
./test/negative/nega_076.jpg, [], [] 
./test/negative/nega_077.jpg, [], [] 
./test/negative/nega_078.jpg, [], [] 
./test/negative/nega_079.jpg, [], [] 
./test/negative/nega_080.jpg, [], [] 
./test/negative/nega_081.jpg, [], [] 
./test/negative/nega_082.jpg, [], [] 
./test/negative/nega_083.jpg, [], [] 
./test/negative/nega_084.jpg, [], [] 
./test/negative/nega_085.jpg, [], [] 
./test/negative/nega_086.jpg, [], [] 
./test/negative/nega_087.jpg, [], [] 
./test/negative/nega_088.jpg, [], [] 
./test/negative/nega_089.jpg, [], [] 
./test/negative/nega_090.jpg, [], [] 
./test/negative/nega_091.jpg, [], [] 
./test/negative/nega_092.jpg, [], [] 
./test/negative/nega_093.jpg, [0], [0.4824023] 
./test/negative/nega_094.jpg, [], [] 
./test/negative/nega_095.jpg, [2], [0.6887677] 
./test/negative/nega_096.jpg, [], [] 
./test/negative/nega_097.jpg, [0], [0.5712358] 
./test/negative/nega_098.jpg, [], [] 
./test/negative/nega_099.jpg, [], [] 
./test/negative/nega_100.jpg, [], [] 
./test/negative/nega_101.jpg, [], [] 
./test/negative/nega_102.jpg, [2], [0.40014216] 
./test/negative/nega_103.jpg, [], [] 
./test/negative/nega_104.jpg, [], [] 
./test/negative/nega_105.jpg, [], [] 
./test/negative/nega_106.jpg, [], [] 
./test/negative/nega_107.jpg, [0], [0.9197095] 
./test/negative/nega_108.jpg, [], [] 
./test/negative/nega_109.jpg, [0], [0.6189897] 
./test/negative/nega_110.jpg, [2], [0.40895987] 
./test/negative/nega_111.jpg, [], [] 
./test/negative/nega_112.jpg, [2], [0.7588171] 
./test/negative/nega_113.jpg, [], [] 
./test/negative/nega_114.jpg, [], [] 
./test/negative/nega_115.jpg, [2], [0.5689854] 
./test/negative/nega_116.jpg, [0], [0.8420765] 
./test/negative/nega_117.jpg, [0], [0.64639914] 
./test/negative/nega_118.jpg, [], [] 
./test/negative/nega_119.jpg, [2], [0.40979028] 
./test/negative/nega_120.jpg, [], [] 
./test/negative/nega_121.jpg, [2], [0.43635455] 
./test/negative/nega_122.jpg, [0], [0.42517707] 
./test/negative/nega_123.jpg, [0], [0.5700854] 
./test/negative/nega_124.jpg, [], [] 
./test/negative/nega_125.jpg, [], [] 
./test/negative/nega_126.jpg, [], [] 
./test/negative/nega_127.jpg, [], [] 
./test/negative/nega_128.jpg, [], [] 
./test/negative/nega_129.jpg, [], [] 
./test/negative/nega_130.jpg, [], [] 
./test/negative/nega_131.jpg, [], [] 
./test/negative/nega_132.jpg, [], [] 
./test/negative/nega_133.jpg, [], [] 
./test/negative/nega_134.jpg, [], [] 
./test/negative/nega_135.jpg, [], [] 
